Zeit;TE1;TE2;Ush;TMref;TM11;TM12;UBE1;TM21;TM22;UBE2;UCE
118.713231;221;55;4700;1029;563;622;1468;819;802;788;1076
119.213264;221;54;4702;1026;563;622;1469;821;803;790;1074
119.710546;220;55;4703;1024;564;622;1469;821;804;790;1076
120.213067;222;55;4700;1026;563;621;1468;823;805;790;1075
120.713056;223;55;4698;1027;563;620;1468;825;805;791;1077
121.212736;223;55;4702;1028;562;619;1467;825;806;790;1076
121.713947;222;55;4699;1026;561;619;1468;826;807;791;1075
122.212961;223;54;4699;1026;560;620;1467;826;809;790;1075
122.710964;224;54;4701;1027;558;618;1466;827;810;790;1077
123.213026;223;55;4701;1027;557;618;1468;825;811;791;1074
123.712153;224;53;4699;1027;555;615;1466;825;812;792;1075
124.213178;225;54;4697;1027;553;615;1466;827;812;792;1075
124.713202;225;53;4700;1027;552;614;1466;826;813;792;1077
125.21289;225;53;4698;1027;552;611;1466;826;813;791;1075
125.713446;226;53;4695;1027;551;611;1466;828;813;792;1074
126.21341;226;53;4703;1027;551;609;1466;828;813;792;1073
126.713364;226;53;4700;1027;549;609;1465;830;813;790;1076
127.213648;227;52;4699;1026;548;608;1466;829;814;793;1076
127.713336;228;52;4700;1027;546;607;1465;831;815;793;1075
128.212904;227;52;4698;1027;545;607;1464;832;816;793;1074
128.712222;228;52;4698;1027;546;606;1464;831;816;792;1072
129.212142;228;52;4696;1027;542;604;1464;832;818;793;1074
129.713283;229;51;4700;1027;541;603;1464;830;817;794;1073
130.213013;229;52;4695;1027;541;603;1464;830;817;793;1076
130.713153;230;51;4698;1023;538;603;1463;830;817;794;1074
131.21311;230;51;4700;1027;537;601;1464;829;819;792;1072
131.713224;231;51;4704;1026;535;600;1463;829;818;794;1071
132.21281;231;51;4701;1027;535;599;1464;829;818;795;1072
132.711334;231;51;4694;1027;535;597;1463;828;819;794;1072
133.21291;230;50;4699;1025;535;596;1463;828;818;797;1071
133.712842;232;51;4698;1027;535;596;1462;831;822;795;1074
134.211468;232;50;4705;1025;535;595;1463;833;823;795;1071
134.713319;232;50;4700;1027;534;594;1462;833;823;795;1073
135.213114;233;50;4703;1027;533;594;1461;834;822;796;1071
135.71127;233;49;4695;1027;532;594;1462;834;823;796;1072
136.213288;233;49;4696;1027;530;593;1461;834;822;796;1071
136.712339;233;49;4698;1027;528;593;1462;834;827;796;1071
137.21242;233;49;4699;1027;527;592;1462;834;825;796;1072
137.713474;234;50;4698;1027;525;591;1461;835;825;797;1070
138.212351;234;49;4699;1026;524;587;1462;835;826;796;1070
